Product Name,Active Ingredient(s),Notes,Application Method,Treatment Duration,Temperature Range,Honey Flow Restrictions,Withdrawal Period (days)
Apiguard,Thymol,Gel in trays; used in late summer/autumn; avoid during honey flow.,Gel trays placed on top bars,2-4 weeks,15-30°C,Do not use during honey flow,0
ApiLife Var,"Thymol, Eucalyptus oil, Menthol, Camphor",Tablet form; strong odour; avoid during honey flow.,Tablets placed on top bars,3-4 weeks,15-30°C,Do not use during honey flow,0
Thymovar,Thymol,Strips; used in late summer; requires warm temperatures to evaporate.,Strips placed on top bars,3-4 weeks,15-30°C,Do not use during honey flow,0
Formic Pro,Formic acid,Strips; can be used during honey flow; temperature-sensitive.,Strips between brood frames,14 days,10-29°C,Can be used during honey flow,0
Api-Bioxal,Oxalic acid dihydrate,Trickling or vaporisation; best during broodless period (winter).,Trickling or vaporisation,Single application,Any (broodless period preferred),Apply when no supers present,0
Dany’s BienenWohl,Oxalic acid dihydrate,Solution applied by trickling; best during broodless period.,Trickling,Single application,Any (broodless period preferred),Apply when no supers present,0
Oxuvar,Oxalic acid dihydrate,Concentrate for trickling or spraying; apply to broodless colonies.,Trickling or spraying,Single application,Any (broodless period preferred),Apply when no supers present,0
Oxybee,"Oxalic acid, Glycerol, Sucrose, Essential oils",For broodless colonies; organic-certified option.,Trickling solution,Single application,Any (broodless period preferred),Apply when no supers present,0
VarroMed,Oxalic acid + Formic acid,Ready-to-use solution; applied by trickling; suitable for brood presence.,Trickling ready-to-use solution,Multiple applications (6-14 days apart),Any (brood present allowed),Apply when no supers present,0
Apistan,Tau-fluvalinate,Contact strips; widespread mite resistance reported in the UK.,Strips between brood frames,6-8 weeks,Any,Apply when no supers present,0
Apitraz,Amitraz,Contact strips; rotate with other chemical classes to prevent resistance.,Strips between brood frames,6-10 weeks,Any,Apply when no supers present,0
Apivar,Amitraz,Contact strips; rotate with other chemical classes to prevent resistance.,Strips between brood frames,6-10 weeks,Any,Apply when no supers present,0
Bayvarol,Flumethrin,Contact strips; mite resistance reported in some UK areas.,Strips between brood frames,4-6 weeks,Any,Apply when no supers present,0
Polyvar Yellow,Flumethrin,Gate attached to the hive entrance; bees walk through it.,Gate at hive entrance,Up to 4 months,Any,Apply when no supers present,0
