Email Address,Associated Beekeeping Association
ballyhaunisbees@gmail.com,Ballyhaunis Beekeepers Association
secretary.connemarabeekeepers@gmail.com,Connemara Beekeepers Association
svbkasecretary@gmail.com,Suck Valley Beekeepers Association
secretary@tribesbeekeepersassociation.com,Tribes Beekeepers Association (Galway)
secretarydigges@gmail.com,Digges Beekeepers' Association (Cavan/Leitrim)
secretarywbka@gmail.com,Westport Beekeepers Association
mcdermottireland@gmail.com,Erris Beekeepers Association
judewalsh30@gmail.com,County Mayo Beekeepers Association
slba.secretary@gmail.com,Sligo/Leitrim Beekeepers Association
bannerbees@gmail.com,Banner Beekeepers Association (Clare)
secretary@dublinbees.org,County Dublin Beekeepers Association
info@fingalbeekeepers.net,Fingal North Dublin Beekeepers' Association
yram@xmail.connect.ie,Kilternan Beekeepers Association
lbkasec@gmail.com,County Louth Beekeepers Association
royalcountybeekeepers@gmail.com,Royal County Beekeepers Association (Meath)
Lcba24sec@gmail.com,Lake County Beekeepers Association (Westmeath)
geraldinebyrne.gb@gmail.com,Offaly Beekeepers Association
dunamaisebees@gmail.com,Dunamaise Beekeepers Association (Laois)
abka.secretary@gmail.com,Ashford Beekeepers Association (Wicklow)
carlowbeekeepers@gmail.com,County Carlow Beekeepers Association
secmbka@gmail.com,Mid Kilkenny Beekeepers Association
secretary.goreybeekeepers@gmail.com,Gorey Beekeepers Association
secretaryskbka@hotmail.com,South Kilkenny Beekeepers Association
countywexfordbeekeepers@gmail.com,County Wexford Beekeepers Association
Timnuttall2003@yahoo.com,New Ross Beekeepers Association
secretaryswbka@gmail.com,South Wexford Beekeepers Association
secretary.roundwoodbka@gmail.com,Roundwood Beekeepers Association
waterfordbees@gmail.com,Waterford Beekeepers Association
northtippbees.secretary@gmail.com,North Tipperary Beekeepers Association
secretaryduhallowbeekeepers@gmail.com,Duhallow Beekeepers Association
eastcorkbeekeepers@gmail.com,East Cork Beekeepers Association
ivan.oconnell@gmail.com,North Cork Beekeepers Association
southtippbees@gmail.com,South Tipperary Beekeepers Association
secretaryccbka@gmail.com,County Cork Beekeepers Association
ibeekeepers@gmail.com,Iveragh Beekeepers Association (Kerry)
secretarylimerickbee@gmail.com,County Limerick Beekeepers Association
inishowenbeekeeper@gmail.com,Inishowen Beekeepers Association (Donegal)
sdonbees@gmail.com,South Donegal Beekeepers Association
sec.ambka@gmail.com,Armagh & Monaghan Beekeepers Association
cavanbeekeepers@gamil.com,County Cavan Beekeepers Association
bluecrann2@gmail.com,Northwest Beekeepers Association (Donegal)
ogbarr@gmail.com,Derry and District Beekeepers Association
