Jurisdiction,County/Area,Association,Website/URL,Email/Contact,Affiliation,Source
NI,(Coleraine,The Cornfield Project,,,UBKA,ubka.org/about/local-associations
NI,(Mid,Mid Ulster Beekeepers’ Association,,,UBKA,ubka.org/about/local-associations
NI,(unspecified),Low County Native Irish Honey Bee,,,UBKA,ubka.org/about/local-associations
NI,Antrim,East Antrim Beekeepers’ Association,,,UBKA,ubka.org/about/local-associations
NI,Antrim,Mid Antrim Beekeeping Association,,,UBKA,ubka.org/about/local-associations
NI,Antrim,Randalstown & District Beekeepers’ Association,,,UBKA,ubka.org/about/local-associations
NI,Antrim,Rasharkin Beekeepers’ Association,,,UBKA,ubka.org/about/local-associations
NI,Armagh/Monaghan,Armagh & Monaghan Beekeepers Association,https://www.facebook.com/armagh.monaghan.beekeepers,sec.ambka@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
NI,Belfast,Belfast & District Beekeepers’ Association,https://belfastbees.co.uk/,,UBKA,ubka.org/about/local-associations
NI,Cavan,County Cavan Beekeepers Association,,cavanbeekeepers@gamil.com (sic),FIBKA,irishbeekeeping.ie/beekeeping-near-you
NI,Derry,Derry & District Beekeepers Association,,ogbarr@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
NI,Derry,Foyle Beekeepers Association,,,UBKA,ubka.org/about/local-associations
NI,Derry,Roe Valley Beekeepers’ Association,,,UBKA,ubka.org/about/local-associations
NI,Donegal,Inishowen Beekeepers Association,,inishowenbeekeeper@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
NI,Donegal,Northwest Beekeepers Association,,bluecrann2@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
NI,Donegal,South Donegal Beekeepers Association,,sdonbees@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
NI,Down,Dromore Beekeepers Association,https://dromorebeekeepers.co.uk/,,UBKA,ubka.org/about/local-associations
NI,Down,Killinchy & District Beekeeping Association,,,UBKA,ubka.org/about/local-associations
NI,Fermanagh,Fermanagh Beekeepers’ Association,,,UBKA,ubka.org/about/local-associations
NI,Tyrone,Three Rivers Beekeepers Association,,,UBKA,ubka.org/about/local-associations
NI,Tyrone/Fermanagh,Clogher Valley Beekeepers’ Association,,,UBKA,ubka.org/about/local-associations
ROI,Carlow,County Carlow Beekeepers Association,http://www.carlowbeekeepers.com,carlowbeekeepers@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Cavan,Digges Beekeepers’ Association,,secretarydigges@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Clare,Banner Beekeepers Association,,bannerbees@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Cork,Beachairí Chorcaigh (Cork Beekeepers),https://www.beachairichorcaigh.org/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Cork,Beacharí Mhuscraí (Ballyvourney),,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Cork,County Cork Beekeepers Association,https://cocorkbka.org,secretaryccbka@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Cork,Duhallow Beekeepers Association,,secretaryduhallowbeekeepers@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Cork,Dunmanway & District Beekeepers Association,https://www.facebook.com/profile.php?id=100064381521487,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Cork,East Cork Beekeepers Association,,eastcorkbeekeepers@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Cork,North Cork Beekeepers Association,,ivan.oconnell@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Cork,Carbery Beekeepers’ Association,https://www.facebook.com/carberybeekeepersassociation,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Cork,South West Cork Beekeepers’ Association,,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Cork/Limerick/Kerry,Sliabh Luachra Beekeepers’ Association,,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Dublin,County Dublin Beekeepers Association,,secretary@dublinbees.org,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Dublin,Fingal North Dublin Beekeepers Association,https://fingalbeekeepers.net,info@fingalbeekeepers.net,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Dublin,Kilternan Beekeepers Association,,yram@xmail.connect.ie,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Dublin,Eblana Beekeeping Association,https://www.facebook.com/profile.php?id=100067015697542,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Galway,Galway Beekeepers’ Association,http://galwaybeekeepers.com/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Galway,Tribes Beekeepers Association,https://TribesBeekeepersAssociation.com,secretary@tribesbeekeepersassociation.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Galway,Connemara Beekeepers Association,https://ConnemaraBeekeepers.ie,secretary.connemarabeekeepers@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Kerry,Kerry Beekeepers Association,,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Kerry,Beaufort Beekeepers Association,http://beaufortbeekeepers.org/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Kerry,Iveragh Beekeepers Association,,ibeekeepers@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Kerry,Killorglin Beekeepers Association,,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Kerry,Sneem Beekeepers’ Association,https://www.sneembeekeepers.com/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Kerry,Collis Sandes Tralee Beekeepers,https://www.facebook.com/CollisSandesHouse/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Kildare,North Kildare Beekeepers Association,https://www.nkbka.com/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Kildare,South Kildare Beekeepers Association (SKBA),,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Kilkenny,Mid Kilkenny Beekeepers Association,http://midkilkennybees.wordpress.com,secmbka@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Kilkenny,South Kilkenny Beekeepers Association,,secretaryskbka@hotmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Laois,Laois Beekeepers Association,https://www.facebook.com/SouthLaoisBKA/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Laois,Dunamaise Beekeepers Association,,dunamaisebees@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Limerick,County Limerick Beekeepers Association,,secretarylimerickbee@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Limerick,Three Counties Beekeeping Association,https://www.facebook.com/3CountiesBeekeepingAssociation/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Longford,Longford Beekeepers Association,https://www.longfordbeekeepers.com/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Louth,County Louth Beekeepers Association,https://louthbeekeeping.com,lbkasec@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Mayo,County Mayo Beekeepers Association,,judewalsh30@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Mayo,Ballyhaunis Beekeepers Association,,ballyhaunisbees@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Mayo,Erris Beekeepers Association,,mcdermottireland@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Mayo,Westport Beekeepers Association,https://wbkc.info,secretarywbka@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Meath,The Royal County Beekeepers Association,,royalcountybeekeepers@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Offaly,County Offaly Beekeepers Association,,geraldinebyrne.gb@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Roscommon/Galway,Suck Valley Beekeepers Association,,SVBKAsecretary@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Sligo/Leitrim,Sligo/Leitrim Beekeepers Association,,slba.secretary@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Tipperary,North Tipperary Beekeepers Association,https://www.northtippbees.com,northtippbees.secretary@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Tipperary,South Tipperary Beekeepers Association,https://southtippbees.com,southtippbees@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Waterford,Bee Happy Beekeepers Waterford,,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Waterford,Co. Waterford Beekeepers Association (Co. WBKA),,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Waterford,East Waterford Beekeepers Association,,waterfordbees@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Westmeath,Belvedere Beekeepers Association,,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
ROI,Westmeath,Lake County Beekeepers Association,https://www.instagram.com/lakecountybeekeeping | https://www.facebook.com/lakecountybeekeeping,Lcba24sec@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Wexford,County Wexford Beekeepers Association,https://countywexfordbeekeepersassociation.com,countywexfordbeekeepers@gmail.com,FIBKA,irishbeekeeping.ie/beekeeping-near-you
ROI,Wexford,Menapian Beekeepers (Wexford),https://www.facebook.com/menapianbee/,,IBA,irishbeekeepers.ie/membership/affiliated_clubs
