fact_id,fact_text,category,season,region,source,license,season_months,theme_tag
1,"A queen can lay up to 1,500 eggs per day at peak season, but output is tightly linked to nectar flow and colony strength; weak colonies simply won’t sustain it.",Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
2,"Worker bees transition through roles by age—nurse, house, and forager—but nutrition and pheromones can accelerate or delay that schedule.",Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
3,"Drones do not forage or defend the hive; their sole purpose is to mate, and they are typically evicted in late summer as resources tighten.",Bee Biology & Behaviour,Summer,Ireland/Europe,Original content,CC-BY 4.0,Jun–Aug,
4,"Honey bees use the waggle dance to communicate direction and distance to forage; it’s effective, but only when the colony has enough foragers to act on it.",Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
5,"Brood nest temperature is regulated around 34–35°C; if ventilation is poor or humidity is off, brood viability drops fast.",Bee Biology & Behaviour,Autumn,Ireland/Europe,Original content,CC-BY 4.0,Sep–Oct,
6,A colony’s temperament is heritable to a degree; hot colonies are often a queen/genetics issue rather than a smoker technique problem.,Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
7,Pheromones are the colony’s operating system—queen mandibular pheromone suppresses worker ovary development and coordinates cohesion.,Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
8,"Foragers typically work a single floral source during a trip (‘floral constancy’), which boosts pollination efficiency but can narrow the nectar palette.",Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
9,"Summer worker lifespan is roughly 4–6 weeks, while winter bees can live several months thanks to higher fat-body reserves.",Bee Biology & Behaviour,Summer,Ireland/Europe,Original content,CC-BY 4.0,Jun–Aug,
10,Propolis isn’t just sticky—colonies use it to sanitise cavities and reduce pathogen load; hives with propolis-rich envelopes often show calmer behaviour.,Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
11,"Guard bees assess intruders by odour; drifting is common in dense apiaries, which can spread mites and disease quietly.",Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
12,"Bee vision detects ultraviolet patterns on flowers, guiding nectar access; grey, overcast days reduce foraging precision and yield.",Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
13,"Colonies can requeen themselves via supersedure without swarming, but the success rate depends on drones being available for mating flights.",Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
14,"Orientation flights cluster on warm, calm afternoons; moving hives around these times increases drift and confusion.",Bee Biology & Behaviour,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
15,"Grafting success depends on larval age—ideally under 24 hours from hatch; older larvae will take, but you’ll select for mediocrity.",Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
16,Queen cell starters benefit from high nurse-bee density and open brood; starve either and your acceptance rate collapses.,Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
17,"Apis mellifera mellifera (Amm) selection in Ireland/Europe prioritises thriftiness, spring build-up aligned to local flora, and low swarming impulse.",Queen Rearing & Genetics,Spring,Ireland/Europe,Original content,CC-BY 4.0,Mar–May,
18,Instrumental insemination gives control over genetics but demands rigorous hygiene and quality drones; sloppy technique shows up a season later.,Queen Rearing & Genetics,Autumn,Ireland/Europe,Original content,CC-BY 4.0,Sep–Oct,
19,Drone production should be deliberate in a breeding programme; otherwise you’re letting the neighbourhood decide your genetics.,Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
20,Mating success hinges on weather windows of 18–25°C with light winds; persistent Atlantic lows can wipe out a cohort.,Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
21,"Marking and clipping queens helps management, but don’t confuse it with selection—temperament, productivity, and survival are what matter.",Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
22,Queen-right starters can still rear cells if queen pheromone is isolated; setup details matter more than brand of grafting tool.,Queen Rearing & Genetics,Autumn,Ireland/Europe,Original content,CC-BY 4.0,Sep–Oct,
23,Open-mating yards should be saturated with chosen drones within 7–10 km; anything less and you’re rolling dice with local mongrels.,Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
24,Virgin queens are flightier and more prone to vanish; minimise inspections until they are mated and laying a solid pattern.,Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
25,"Evaluate queens on a scored rubric: brood pattern, honey yield, gentleness, hygienic behaviour, and overwintering success over two seasons.",Queen Rearing & Genetics,Winter,Ireland/Europe,Original content,CC-BY 4.0,Nov–Feb,
26,"Emergency cells tend to produce smaller queens on average; for breeding stock, use planned grafts from selected mothers instead.",Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
27,"Ferality is not a breeding plan; unmanaged survivor colonies might carry traits you don’t want, including disease tolerance that masks spread.",Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
28,Keep pedigree cards and dates religiously; memory is not a system and it will cost you seasons.,Queen Rearing & Genetics,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
29,"Varroa isn’t a bad year problem; it’s an every-year problem—monitor by alcohol wash or sugar roll and treat on thresholds, not vibes.",Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
30,A single heavy nectar flow can mask queen failure; always verify brood pattern before supering and again after it’s pulled.,Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
31,Feeding syrup in late autumn risks stimulating brood when you want winter bees; feed earlier or use fondant when it’s cold.,Colony Management,Autumn,Ireland/Europe,Original content,CC-BY 4.0,Sep–Oct,
32,"If you split without ensuring adequate nurse bees and resources, you’re not making two hives—you’re making two weak ones.",Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
33,"Swarm control needs timing; once cups have royal jelly and larvae, you’re behind—execute your chosen method without half-measures.",Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
34,"Apiary density increases drift and disease pressure; space hives, vary orientations, and use landmarks to reduce cross-traffic.",Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
35,Comb management matters: cycle out dark brood comb to limit pathogen load and chemical residues; wax tells the hive’s history.,Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
36,Emergency feeding should be simple and fast; starving colonies don’t care about your preferred feeder brand.,Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
37,A queen excluder does not fix poor nectar flows; more often it highlights a weak or congested brood nest.,Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
38,"If brood breaks are part of your varroa plan, schedule them—accidental broodless periods rarely line up with mite biology.",Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
39,"Record-keeping beats gut feel over a season; write down dates for inspections, treatments, splits, and flows.",Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
40,"Mouse guards and woodpecker protection are boring until you lose a colony; winter prep is risk management, not decor.",Colony Management,Winter,Ireland/Europe,Original content,CC-BY 4.0,Nov–Feb,
41,Requeening hot colonies pays back in fewer stings and faster inspections; PPE is not a breeding policy.,Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
42,Supers on too early can chill brood; aim for strong coverage of brood frames before stacking boxes.,Colony Management,All-year,Ireland/Europe,Original content,CC-BY 4.0,Jan–Dec,
43,"In Ireland and much of Europe, willow and gorse provide critical early pollen; colonies that miss this sprint struggle to build for spring flows.",Floral & Environmental,Spring,Ireland/Europe,Original content,CC-BY 4.0,Mar–May,
44,Hawthorn can trigger explosive spring build-up when weather cooperates; cold snaps during bloom stall it immediately.,Floral & Environmental,Spring,Ireland/Europe,Original content,CC-BY 4.0,Mar–May,
45,"White clover yields well in warm, damp summers; drought shrinks nectar production even when fields look green.",Floral & Environmental,Summer,Ireland/Europe,Original content,CC-BY 4.0,Jun–Aug,
